country_name,country_code,gdp_per_capita,life_expectancy,pop,continent
Ethiopia,ETH,640.5419230754219,65.048,100835453,Africa
Finland,FIN,42784.69836164319,81.48048780487807,5479531,Europe
Fiji,FJI,5390.7142070308455,67.103,868632,Oceania
France,FRA,36638.18492915701,82.3219512195122,66548272,Europe
Faroe Islands,FRO,52400.29727638355,81.8439024390244,48055,Europe
"Micronesia, Fed. Sts.",FSM,2906.6170122880812,67.315,108886,Oceania
Gabon,GAB,7384.700703930715,64.913,1947690,Africa
United Kingdom,GBR,45039.23595204859,80.95609756097562,65116219,Europe
Georgia,GEO,4014.1859441932947,72.973,3725276,Asia
Ghana,GHA,1705.5750820451922,62.772,27849203,Africa
Guinea,GIN,769.2554754331608,59.598,11432096,Africa
"Gambia, The",GMB,660.7235712443218,60.91,2085860,Africa
Guinea-Bissau,GNB,603.3993815477328,56.959,1737207,Africa
Equatorial Guinea,GNQ,11283.39805438715,57.359,1168575,Africa
Greece,GRC,18050.09761007457,81.03658536585367,10820883,Europe
Grenada,GRD,9096.538652463216,72.445,109603,Americas
Greenland,GRL,44536.401308099936,71.24634146341464,56114,Americas
Guatemala,GTM,3994.636912884745,73.25,15567419,Americas
Guam,GUM,35829.25035989892,79.144,161851,Oceania
Guyana,GUY,5576.82607039747,69.262,767433,Americas
"Hong Kong SAR, China",HKG,42431.88828172769,84.27804878048782,7291300,Asia
Honduras,HND,2302.2044109331596,74.495,9112904,Americas
Croatia,HRV,11781.734793242877,77.27560975609758,4203604,Europe
Haiti,HTI,1389.1197792648484,62.485,10695540,Americas
Hungary,HUN,12706.891214892377,75.56829268292685,9843028,Europe
Indonesia,IDN,3331.6951146918896,70.768,258383257,Asia
India,IND,1605.6054445704508,68.607,1310152392,Asia
Ireland,IRL,61987.55099822236,81.45365853658538,4701957,Europe
"Iran, Islamic Rep.",IRN,4904.327314851686,75.796,78492208,Asia
